_id.username,_id.location,count
WhiteRose90,Singapore,2
YukiCoxeter,Singapore,1
Zamree,"Kuala Lumpur, Malaysia",1
MAS1968,"Bangkok, Thailand",1
MayLinLim,"Kuala Lumpur, Malaysia",1
Pipo2968,Singapore,1
Mark8888,Singapore,1
3cia,"Manila, Philippines",1
mark c,"Kuala Lumpur, Malaysia",1
Edward086,Singapore,1
RosalindHong,"Kuala Lumpur, Malaysia",1
kekealdirono,"Jakarta, Indonesia",1
Lenee,Singapore,1
CE123,"Kuala Lumpur, Malaysia",1
A_Tan,Singapore,1
DwianaO,"Jakarta, Indonesia",1
SitiMurni,Singapore,1
VooVoo26,Singapore,2
DCKB,Singapore,2
sugarbiscuit,Singapore,1
Eas_Bandung,"Jakarta, Indonesia",2
kkgoxplore,Singapore,1
Intrepid88,Singapore,6
mosquita,"Kuala Lumpur, Malaysia",1
Riversidemuses,Singapore,1
Bee Kuan L,"Kuala Lumpur, Malaysia",2
Gary2007,"Manila, Philippines",1
jazerly,Singapore,1
Essie2211,Singapore,3
Jennychong,"Kuala Lumpur, Malaysia",1
Mongkut,"Bangkok, Thailand",2
steveruthp,"Phnom Penh, Cambodia",1
pdaochai,"Bangkok, Thailand",1
SingaporeLulu,Singapore,1
IntanDiyana,"Kuala Lumpur, Malaysia",1
meiling_9,"Kuala Lumpur, Malaysia",1
Rach212,Singapore,2
MajidiGirl,Singapore,2
wacka,Saigon Vietnam,2
ednorisa,Brunei Darussalam,1
JBar6,"Bangkok, Thailand",1
Mystie,"Kuala Lumpur, Malaysia",1
declosetgeek,Singapore,1
tanasurfs,"Manila, Philippines",1
aukahkay,Singapore,1
Belle W,"Bangkok, Thailand",1
Trudster18,Singapore,1
brunettienzo,"Bangkok, Thailand",1
OrangeSummers,"Manila, Philippines",1
Kenneth_HM,Singapore,2
cuteman88,"Manila, Philippines",1
Traminer,Singapore,1
Ross_Singapore,Singapore,1
asdfgh78,Singapore,1
expat4ever,Singapore,1
JLEESingapore,Singapore,1
SingaporeJD,Singapore,1
ThePooh,Singapore,1
CCF_love2travel,"Kuala Lumpur, Malaysia",1
pearlyn,Singapore,1
gneosk,Singapore,2
BexYo,"Jakarta, Indonesia",1
Wombatkev,"Kuala Lumpur, Malaysia",2
q9rve,"Bangkok, Thailand",1
yaynte,"Manila, Philippines",1
Audrey9,Singapore,1
annick114,"Manila, Philippines",1
jemapohexplorer,"Kuala Lumpur, Malaysia",1
Zethrop,Singapore,2
MeiYin,Singapore,1
Kallang,Singapore,1
Kris A,"Bangkok, Thailand",2
Sydney79,Singapore,1
JWeiden,"Bangkok, Thailand",1
isaias s,"Manila, Philippines",1
MadameCOCO008,"Manila, Philippines",1
Bouncy_Killer,"Manila, Philippines",1
kofty,"Bangkok, Thailand",1
JunM_75,"Manila, Philippines",1
Pat_Jon,Singapore,1
alextan,Singapore,2
TVR52,Singapore,1
schia48,"Kuala Lumpur, Malaysia",1
AmberNRay,"Bangkok, Thailand",1
Emmanu,Singapore,1
Steveyinasia,"Bangkok, Thailand",1
GarySIA,Singapore,1
RSO1962,"Manila, Philippines",1
TrueSingaporean,Singapore,1
Sara_Ciro,"Bangkok, Thailand",1
TanjongRhu,Singapore,1
KunalAjinkya,Singapore,1
AndySilverfox7,"Bangkok, Thailand",1
Globaltattler,Singapore,1
sbjohari,Singapore,3
Simply_Rob,Singapore,1
WorldTravelDoc,Singapore,1
Simon63,"Jakarta, Indonesia",3
Paull421,"Bangkok, Thailand",1
Faith58,"Manila, Philippines",1
paria,"Jakarta, Indonesia",1
LochLomondArmsHotel,Singapore,1
Izzowizzo,Singapore,1
Jegan_T,"Kuala Lumpur, Malaysia",2
lych2012,"Kuala Lumpur, Malaysia",1
ianfly,Singapore,1
HannahMumbai,"Manila, Philippines",1
francesca104,"Manila, Philippines",1
HenryW3,"Jakarta, Indonesia",1
ThePrivateer,Singapore,1
ReubenSingapore,Singapore,1
MYKNN,Singapore,2
thesaint9,Singapore,1
kid_at_heart17,"Manila, Philippines",2
pael,"Manila, Philippines",1
JohnMateosOng,"Manila, Philippines",1
ultraelite_archer,Singapore,1
wyh,"Bangkok, Thailand",1
pamplem0usse,Singapore,1
traveler-1234599,"Bangkok, Thailand",1
MF P,Singapore,1
18Titles,Singapore,2
SingaporeQueue,Singapore,1
pinkpetter,Singapore,1
All_Day_Dreamer,"Manila, Philippines",1
MarkoRamius23,Singapore,1
Nymphi,Singapore,1
Rina A,"Manila, Philippines",1
Danisidhe,"Bangkok, Thailand",1
SingaporeKAP,Singapore,2
SK1960,"Bangkok, Thailand",1
QCInspector,Singapore,7
scotsontourz,Singapore,2
Earng,"Bangkok, Thailand",1
triciabau,"Manila, Philippines",1
bleachedquasar,Singapore,1
phweet,Singapore,1
nicholasdamian,"Jakarta, Indonesia",1
georginaZz,"Bangkok, Thailand",1
foot21583,Singapore,1
tommi64,"Bangkok, Thailand",2
Chattan_k,"Bangkok, Thailand",1
Cassakay,"Phnom Penh, Cambodia",1
5shyams,Singapore,1
shelob,"Manila, Philippines",1
lousifers,"Bangkok, Thailand",1
jotan23,"Manila, Philippines",1
Karzack,"Jakarta, Indonesia",1
jajauno,"Manila, Philippines",1
AmmeSastro,"Jakarta, Indonesia",1
wardrobeantics,"Manila, Philippines",1
biketrekker,Singapore,1
expat_globe_trotter,"Bangkok, Thailand",1
KDMumbai,"Bangkok, Thailand",2
bdamodaran,"Bangkok, Thailand",1
unfrequentflyer,Singapore,2
TSESingapore,Singapore,3
flojo10,"Manila, Philippines",1
Lilet C,"Manila, Philippines",2
x57114,"Bangkok, Thailand",1
greenlaundry,Singapore,1
Clutz80,Singapore,1
msilovefood71,Singapore,1
Hcslovanka1818,"Bangkok, Thailand",1
gandalf1234,Singapore,1
SQFlyer72,Singapore,2
Katie198803,"Bangkok, Thailand",1
skinnerbox8,"Manila, Philippines",1
bastiaan,"Jakarta, Indonesia",1
lcmmarcus,Singapore,1
hotelreview77,"Manila, Philippines",2
GeorgeSingapore,Singapore,2
Ina911,"Jakarta, Indonesia",1
to_calvary,Singapore,1
travelingmonkey07,"Jakarta, Indonesia",1
Debbytriana,"Jakarta, Indonesia",1
Terenceteo,Singapore,1
BBC25,Singapore,1
FiChisholm,Singapore,2
moodypink,"Jakarta, Indonesia",1
AlanW2011,"Kuala Lumpur, Malaysia",1
lilet819,"Manila, Philippines",1
MeiJ,Singapore,1
weihao07,Singapore,1
dtai010,Singapore,2
xpstyle,Singapore,1
agsman,"Bangkok, Thailand",1
akhalid,"Kuala Lumpur, Malaysia",1
g0lf_vacati0ns,Singapore,1
ladylawyer0826,"Manila, Philippines",1
tanseaway,"Kuala Lumpur, Malaysia",1
BangkokJames,"Bangkok, Thailand",1
jakehyr,Singapore,1
WilliamBarry,"Bangkok, Thailand",1
nyujay2010,"Bangkok, Thailand",2
TruebritSingapore,Singapore,1
Nonnapn,"Manila, Philippines",1
trecev,"Manila, Philippines",2
greedigirl,Singapore,1
FarmerOfTheDell,"Manila, Philippines",1
cher_nd,Singapore,1
essenceoflife,Singapore,1
Sanrio,Singapore,1
LKL73,Singapore,1
val8700,Singapore,3
DisneySingapore,Singapore,2
flanker2000fr,Singapore,1
andy_zu,"Jakarta, Indonesia",1
lileng,Singapore,1
ando243,"Bangkok, Thailand",1
thegirlofsteel,"Jakarta, Indonesia",1
gendot,"Manila, Philippines",1
Chelsea159,Singapore,1
KatkinsSingapore,Singapore,1
Angela k,Singapore,1
Ashok-Seenu,Singapore,1
w1w1n5,"Jakarta, Indonesia",1
arayaBKK,"Bangkok, Thailand",1
Richard G,"Kuala Lumpur, Malaysia",3
4kiwis2011,"Manila, Philippines",1
TGIF_62,"Manila, Philippines",1
pancrazio81,Singapore,1
edcap99,"Manila, Philippines",2
DeemarieSingapore,Singapore,1
VictoriaSommers,Singapore,1
sneaky_wan,Singapore,2
ysouk,Singapore,1
Jody2b,"Manila, Philippines",1
Danielle_Jamie,Singapore,1
LeithW,"Kuala Lumpur, Malaysia",2
TheEclecticEve,"Manila, Philippines",1
jklqp,Singapore,1
jcd17,"Manila, Philippines",1
HotMama168,"Bangkok, Thailand",1
ianwyj,Singapore,1
tstyles,"Phnom Penh, Cambodia",1
orangemuffin,Singapore,3
spiderman76,Singapore,2
saxnsuch,Singapore,1
Mowzertron,"Manila, Philippines",1
sugusmae,"Kuala Lumpur, Malaysia",1
AhweiSingapore,Singapore,1
bongkeh,"Jakarta, Indonesia",1
Maddy743,Singapore,1
OneCentral,Singapore,1
mccheah,"Kuala Lumpur, Malaysia",1
kittyjoy,"Bangkok, Thailand",1
CChia,Singapore,2
auryee,Singapore,1
ilikechilli,Singapore,1
e30ygc,"Kuala Lumpur, Malaysia",1
Siam-Orchids,"Bangkok, Thailand",2
bugzz_travel,Singapore,1
hmanshor,Singapore,1
Fiona_SG,Singapore,1
samSG81,Singapore,2
eteo,Singapore,1
mrscho79,Singapore,1
Martinmallia,Singapore,1
DavidPSingapore,Singapore,1
jpmsenior,Singapore,2
SteveLSK,Singapore,1
foodietraveler2012,"Bangkok, Thailand",3
Lis T,"Kuala Lumpur, Malaysia",1
Funtravel712,"Manila, Philippines",1
Jazzly R,"Jakarta, Indonesia",1
VinceKam,Singapore,1
CTTan,Singapore,1
Audrey63,Singapore,1
Australia555,Singapore,1
jacobethan,"Manila, Philippines",1
JenAndAndrew,Singapore,1
smth78,"Kuala Lumpur, Malaysia",1
cgcf,Singapore,1
ronrush,Singapore,1
Kennie_Wong,Singapore,1
SukhumvitRoad,"Bangkok, Thailand",1
Jopin55,Singapore,3
Roberto C,"Bangkok, Thailand",1
Sandbites,"Manila, Philippines",1
Derrick_Ong,"Kuala Lumpur, Malaysia",1
michiruo,Singapore,1
JGLing,Singapore,1
zuluwarriors1879,Singapore,1
utamaputranto,"Jakarta, Indonesia",1
lollipops,"Bangkok, Thailand",2
noboundary,Singapore,1
Matt873,Singapore,2
suami_intan,"Jakarta, Indonesia",2
