_id,ratings.overall,offeringDetails[0].hotel_class,offeringDetails[0].name
65ac467f7672c3f8efe19282,5,4,Andaz 5th Avenue
65ac467f7672c3f8efe19635,5,4.5,The Sherry-Netherland Hotel
65ac467f7672c3f8efe19703,4,4.5,The Sherry-Netherland Hotel
65ac467f7672c3f8efe19764,5,4,The Iroquois
65ac467f7672c3f8efe1993e,5,5,The Chatwal
65ac467f7672c3f8efe19a12,2,5,"The Setai Fifth Avenue, a Capella managed Hotel"
65ac467f7672c3f8efe19a84,5,3,Hotel Beacon
65ac467f7672c3f8efe19e11,4,4,Eventi - a Kimpton Hotel
65ac467f7672c3f8efe1a027,5,5,"The Setai Fifth Avenue, a Capella managed Hotel"
65ac467f7672c3f8efe1a478,4,5,"The Setai Fifth Avenue, a Capella managed Hotel"
65ac467f7672c3f8efe1a636,4,4,Andaz 5th Avenue
65ac467f7672c3f8efe1a8da,5,4,Andaz 5th Avenue
65ac467f7672c3f8efe1ab69,5,4,The Iroquois
65ac46807672c3f8efe1b557,5,4,Andaz 5th Avenue
65ac46817672c3f8efe1de7a,5,,The NoMad Hotel
65ac46817672c3f8efe1e589,5,4.5,Sofitel New York
65ac46817672c3f8efe1e5af,5,5,"The Ritz-Carlton New York, Central Park"
65ac46817672c3f8efe1e67e,4,3.5,Affinia Gardens
65ac46817672c3f8efe1e794,4,4.5,InterContinental New York Times Square
65ac46817672c3f8efe1e7e3,4,4,Fitzpatrick Manhattan
65ac46817672c3f8efe1e8af,5,5,"The Ritz-Carlton New York, Central Park"
65ac46817672c3f8efe1eb13,3,,Hotel Mulberry
65ac46817672c3f8efe1eb40,5,4.5,Sofitel New York
65ac46817672c3f8efe1eeb5,1,3,Candlewood Suites New York City Times Square
65ac46817672c3f8efe1eed0,2,3,Candlewood Suites New York City Times Square
65ac46817672c3f8efe1f050,5,3,Residence Inn by Marriott Times Square New York
65ac46817672c3f8efe1f199,3,3,Hampton Inn Madison Square Garden
65ac46817672c3f8efe1f2ec,4,4.5,InterContinental New York Times Square
65ac46817672c3f8efe1f453,5,5,Gansevoort Park Avenue NYC
65ac46817672c3f8efe1f53a,4,3,Candlewood Suites New York City Times Square
65ac46817672c3f8efe1fa01,5,3,Hotel 373
65ac46827672c3f8efe1ff6a,4,4,The Marcel at Gramercy
65ac46827672c3f8efe20073,3,4,The Manhattan Club
65ac46827672c3f8efe200e5,4,3.5,Manhattan Centre Hotel
65ac46827672c3f8efe200e9,3,3.5,Excelsior Hotel
65ac46827672c3f8efe2023f,4,3.5,Manhattan Centre Hotel
65ac46827672c3f8efe202bd,4,3.5,Manhattan Centre Hotel
65ac46827672c3f8efe20426,3,4,The Marcel at Gramercy
65ac46827672c3f8efe20b47,4,3.5,Club Quarters Wall Street
65ac46827672c3f8efe20e36,1,3.5,Club Quarters Wall Street
65ac46827672c3f8efe210e6,3,2.5,Washington Square Hotel
65ac46827672c3f8efe213bc,4,3,Hotel East Houston
65ac46827672c3f8efe216f4,4,2.5,Park 79 Hotel
65ac46827672c3f8efe2178f,3,2,Americana Inn
65ac46827672c3f8efe2190b,3,4,The Roosevelt Hotel
65ac46827672c3f8efe21a6e,4,2.5,Park 79 Hotel
