_id[0],concatenatedTitles[0],concatenatedTitles[1],concatenatedTitles[2],concatenatedTitles[3],concatenatedTitles[4],concatenatedTitles[5],concatenatedTitles[6],concatenatedTitles[7],concatenatedTitles[8],concatenatedTitles[9],concatenatedTitles[10]
Hampton Inn Madison Square Garden,“Accessible from Penn Station”,,,,,,,,,,
Morningside Inn,“Inn From HELL”,,,,,,,,,,
Hotel 373,"“Great, friendly hotel in central location”",,,,,,,,,,
The Time,“Defnitely a rip off!”,,,,,,,,,,
Dylan Hotel,“Good review from me”,“Poor value hotel”,“Excellent boutique hotel in early 20th century building”,,,,,,,,
Hotel Newton,“Great Value for Manhattan”,“Good value for money”,“A Real Gem!!!”,,,,,,,,
Novotel New York Times Square,“Week in New York at Novotel”,"“the first city, east coast, US”",“Awesome Location and Extremely Affordable”,“Good hotel choice if the price is right”,,,,,,,
"Club Quarters, opposite Rockefeller Center",“Highly recommended!”,,,,,,,,,,
Marrakech Hotel on Broadway,“A steal for Manhattan - clean & friendly with fantastic location”,,,,,,,,,,
Skyline Hotel,“the crappiest hotel I have ever had to stay in”,“It's okay.”,“Cosmos Tour arranged hotel (starts of US- Canada East tour)”,"“Location, location, location...”",,,,,,,
Kitano New York,“best kept secret since 2003”,,,,,,,,,,
Hilton Garden Inn New York West 35th,“Good Location”,"“Great location, clean and roomy.”",,,,,,,,,
The Belvedere,“Excellent location!!!!”,“consigliatissimo”,,,,,,,,,
Washington Square Hotel,"“great location, unwelcoming staff”",,,,,,,,,,
Smyth Hotel - A Thompson Hotel,“Stayed there the second time - will stay everytime!”,,,,,,,,,,
"The Setai Fifth Avenue, a Capella managed Hotel",“Not the cleanest hotel I have been to...”,"“Great hotel, feels like having a honeymoon for the second time”",“Could have been a better experience...”,,,,,,,,
Four Points by Sheraton Manhattan Chelsea,"“Basic, good location”",,,,,,,,,,
Edison Hotel Times Square,“Hotel with good location but with some minor issues”,"“Great location, small room but good value”",“Good location but beware of bed bugs”,,,,,,,,
Hotel 31,“Small room but still a good choice”,“Great for its price”,“Decent place although really dark”,,,,,,,,
The Amsterdam Inn,“Nice and clean room”,,,,,,,,,,
Courtyard by Marriott New York Manhattan / Times Square South,“Loved it!”,,,,,,,,,,
"Hotel Indigo New York City, Chelsea","“Great location, pleasant staff and clean rooms”",,,,,,,,,,
Belnord Hotel,"“Great location, abysmal service”",,,,,,,,,,
